"Variable","Month","Default","Scenario","Reduction"
"TrapsFished","1",196627.655339547,196627.655339547,0
"TrapsFished","2",128585.618177441,128585.618177441,0
"TrapsFished","3",138393.280359729,138393.280359729,0
"TrapsFished","4",203015.472765711,203015.472765711,0
"TrapsFished","5",256290.644302902,240364.626201908,0.0621404583234484
"TrapsFished","6",325787.398409187,310397.023322977,0.0472405475514416
"TrapsFished","7",403977.32301803,389296.470490609,0.0363407837295013
"TrapsFished","8",435835.361291835,418464.303957521,0.0398569250618522
"TrapsFished","9",454478.831809947,454478.831809947,0
"TrapsFished","10",458848.559465394,458848.559465394,0
"TrapsFished","11",393100.601219537,393100.601219537,0
"TrapsFished","12",262890.394701783,262890.394701783,0
"TrapsFished","Total",3657831.14086104,3594462.83781211,0.0173240099415913
"Trawls","1",33207.5811833639,33207.5811833639,0
"Trawls","2",19721.2734900302,19721.2734900302,0
"Trawls","3",22154.5132434282,22154.5132434282,0
"Trawls","4",41090.3847029803,41090.3847029803,0
"Trawls","5",63677.899671731,60953.2585828728,0.0427878605121099
"Trawls","6",88353.1021218104,85309.052322182,0.0344532305773677
"Trawls","7",124638.778973509,121671.562169145,0.0238065297879241
"Trawls","8",138811.917542947,135215.054380872,0.025911774909108
"Trawls","9",138952.817348611,138952.817348611,0
"Trawls","10",135153.647228959,135153.647228959,0
"Trawls","11",103593.359061364,103593.359061364,0
"Trawls","12",54750.9816819934,54750.9816819934,0
"Trawls","Total",964106.256250727,951773.485395803,0.0127919207815171
"VerticalLines","1",42837.7481938078,42837.7481938078,0
"VerticalLines","2",26031.5308756423,26031.5308756423,0
"VerticalLines","3",28674.360374969,28674.360374969,0
"VerticalLines","4",50208.406725293,50208.406725293,0
"VerticalLines","5",73391.1955099378,69988.1874513739,0.0463680695609209
"VerticalLines","6",99454.5197772852,95864.2880467846,0.0360992314732443
"VerticalLines","7",136699.414202253,133196.194001851,0.0256271778547542
"VerticalLines","8",150469.800832619,146262.71392204,0.0279596762094446
"VerticalLines","9",151825.831507431,151825.831507431,0
"VerticalLines","10",149320.11181319,149320.11181319,0
"VerticalLines","11",117685.058112422,117685.058112422,0
"VerticalLines","12",65987.6808413477,65987.6808413477,0
"VerticalLines","Total",1092585.6587662,1077882.11186615,0.0134575690080445
"RelativeRisk","1",2355.62846601501,2355.62846782283,-7.67447216887263e-10
"RelativeRisk","2",1121.82349584351,1121.82349696851,-1.00283381598842e-09
"RelativeRisk","3",1496.51019332969,1496.51019455422,-8.18253020895554e-10
"RelativeRisk","4",134.199057004829,134.199059041249,-1.5174626444292e-08
"RelativeRisk","5",414.31674806121,367.843264896173,0.112168970678857
"RelativeRisk","6",69.0900295628569,61.2145073913965,0.113989271987436
"RelativeRisk","7",1587.63410750299,1580.35974383442,0.00458188926163317
"RelativeRisk","8",2723.79518635036,2707.88421901545,0.00584146980457623
"RelativeRisk","9",633.884185652434,633.884191339352,-8.97154106560549e-09
"RelativeRisk","10",4497.98840209991,4497.98840772559,-1.25071042411662e-09
"RelativeRisk","11",5195.71314663165,5195.71315115392,-8.70384653239853e-10
"RelativeRisk","12",2128.23145671786,2128.2314593768,-1.24936638812301e-09
"RelativeRisk","Total",22358.8144747723,22281.2801631199,0.00346772910253756
