"Action","LMA","State","StatArea","Fishery","Shapefile","Months","Percentage","TrawlRegulation","TrawlLen","MaxRopeDia","BuoylineDevice","RopelessDevice","TrapCap"
"MaxRopeDia","","","","","GOM_100M_to_EEZ","","","","","1,700","","",""
"MaxRopeDia","","","","","GB_100M_to_600M","","","","","1,700","","",""
